timestamp,name,address,day_type,hour,rule_color,occupancy_rate,occupied_spots,total_capacity,latitude,longitude
2025-11-22 00:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,0,grün,0.6725,126,188,48.097500000000004,11.524527777777779
2025-11-22 01:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,1,grün,0.5262,98,188,48.097500000000004,11.524527777777779
2025-11-22 02:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,2,grün,0.2568,48,188,48.097500000000004,11.524527777777779
2025-11-22 03:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,3,grün,0.5518,103,188,48.097500000000004,11.524527777777779
2025-11-22 04:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,4,grün,0.3622,68,188,48.097500000000004,11.524527777777779
2025-11-22 05:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,5,grün,0.2105,39,188,48.097500000000004,11.524527777777779
2025-11-22 06:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,6,grün,0.065,12,188,48.097500000000004,11.524527777777779
2025-11-22 07:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,7,grün,0.6243,117,188,48.097500000000004,11.524527777777779
2025-11-22 08:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,8,grün,0.4821,90,188,48.097500000000004,11.524527777777779
2025-11-22 09:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,9,grün,0.5026,94,188,48.097500000000004,11.524527777777779
2025-11-22 10:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,10,grün,0.4992,93,188,48.097500000000004,11.524527777777779
2025-11-22 11:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,11,grün,0.6227,117,188,48.097500000000004,11.524527777777779
2025-11-22 12:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,12,grün,0.6735,126,188,48.097500000000004,11.524527777777779
