id,address,capacity,latitude,longitude,parking_type
opendata_ruhver_parkseiten_line.1,Ohlmüllerstr.,10.0,48.125406836714674,11.579446435072002,Parkplatz
opendata_ruhver_parkseiten_line.2,Entenbachstr.,15.0,48.12482450187614,11.579578035039429,Parkplatz
opendata_ruhver_parkseiten_line.3,Boosstr.,14.0,48.12479070397306,11.578920408447907,Parkplatz
opendata_ruhver_parkseiten_line.4,Entenbachstr.,13.0,48.12479147658567,11.579646762526346,Parkplatz
opendata_ruhver_parkseiten_line.5,Entenbachstr.,18.0,48.12390947568212,11.578949110333003,Parkplatz
opendata_ruhver_parkseiten_line.6,Entenbachstr.,38.0,48.123997918807376,11.579163105342897,Parkplatz
opendata_ruhver_parkseiten_line.7,Entenbachstr.,0.0,48.12153112920266,11.576918798819763,Parkplatz
opendata_ruhver_parkseiten_line.8,Asamstr.,33.0,48.124627257095334,11.577842882209735,Parkplatz
opendata_ruhver_parkseiten_line.9,Asamstr.,19.0,48.124671147945556,11.577728881187323,Parkplatz
opendata_ruhver_parkseiten_line.10,Asamstr.,55.0,48.1235632342937,11.576312370180068,Parkplatz
opendata_ruhver_parkseiten_line.11,Asamstr.,48.0,48.123666514934946,11.576629764313484,Parkplatz
opendata_ruhver_parkseiten_line.12,Albanistr.,16.0,48.124532117693114,11.57663157746875,Parkplatz
opendata_ruhver_parkseiten_line.13,Albanistr.,15.0,48.12382000748542,11.57798262908329,Parkplatz
opendata_ruhver_parkseiten_line.14,Albanistr.,15.0,48.12380628188972,11.577827676941597,Parkplatz
opendata_ruhver_parkseiten_line.15,Albanistr.,11.0,48.12333650797841,11.579137719236547,Parkplatz
opendata_ruhver_parkseiten_line.16,Albanistr.,8.0,48.12328262420953,11.579073840257731,Parkplatz
opendata_ruhver_parkseiten_line.17,Nordendstr.,17.0,48.158452655935555,11.574964496771571,Parkplatz
opendata_ruhver_parkseiten_line.18,Boosstr.,15.0,48.12474347206889,11.578894388908214,Parkplatz
opendata_ruhver_parkseiten_line.19,Am Feuerbächl,10.0,48.124571133562455,11.579956754229507,Parkplatz
opendata_ruhver_parkseiten_line.20,Ohlmüllerstr.,5.0,48.124943930980294,11.580105713590346,Parkplatz
opendata_ruhver_parkseiten_line.21,Ohlmüllerstr.,5.0,48.12458838233634,11.580586838359498,Parkplatz
opendata_ruhver_parkseiten_line.22,Ohlmüllerstr.,19.0,48.123559704710836,11.581558051228646,Parkplatz
opendata_ruhver_parkseiten_line.23,Falkenstr.,7.0,48.12136208184312,11.578447759325826,Parkplatz
opendata_ruhver_parkseiten_line.24,Falkenstr.,16.0,48.12077605287848,11.577410791365438,Parkplatz
opendata_ruhver_parkseiten_line.25,Kolumbusstr.,6.0,48.121510527010194,11.576183934217543,Parkplatz
opendata_ruhver_parkseiten_line.26,Kolumbusstr.,7.0,48.12119002872113,11.576087946417115,Parkplatz
opendata_ruhver_parkseiten_line.27,Kolumbusstr.,4.0,48.12035946581285,11.576520905421042,Parkplatz
opendata_ruhver_parkseiten_line.28,Oefelestr.,15.0,48.12038151453494,11.57492831720908,Parkplatz
opendata_ruhver_parkseiten_line.29,Oefelestr.,17.0,48.12028977593063,11.57494138832052,Parkplatz
opendata_ruhver_parkseiten_line.30,Pilgersheimer Str.,8.0,48.12024493243669,11.575989714165361,Parkplatz
opendata_ruhver_parkseiten_line.31,Edlingerpl.,2.0,48.120499490752636,11.57597446545471,Parkplatz
opendata_ruhver_parkseiten_line.32,Edlingerstr.,32.0,48.12132565632899,11.574739047199309,Parkplatz
opendata_ruhver_parkseiten_line.33,Edlingerstr.,31.0,48.12137097849449,11.574776805006733,Parkplatz
opendata_ruhver_parkseiten_line.34,Schlotthauerstr.,17.0,48.12312354578589,11.576644575056825,Parkplatz
opendata_ruhver_parkseiten_line.35,Schlotthauerstr.,6.0,48.12342719924842,11.57530260138584,Parkplatz
opendata_ruhver_parkseiten_line.36,Schlotthauerstr.,5.0,48.12332022686089,11.575242967227869,Parkplatz
opendata_ruhver_parkseiten_line.37,Entenbachstr.,4.0,48.12335471971689,11.578399723826003,Parkplatz
opendata_ruhver_parkseiten_line.38,Sommerstr.,24.0,48.12233260122059,11.57437182985885,Parkplatz
opendata_ruhver_parkseiten_line.39,Rosenheimer Str.,6.0,48.12974553864865,11.591975411908795,Parkplatz
opendata_ruhver_parkseiten_line.40,Rosenheimer Str.,2.0,48.12794155121918,11.594787657674889,Parkplatz
opendata_ruhver_parkseiten_line.41,Zentnerstr.,10.0,48.15727727229498,11.564085179781053,Parkplatz
