FID,angebot,parkregel_gruppe,parkregel_name,prm_name,strasse,geoportal_class,center_lon,center_lat
opendata_ruhver_parkseiten_line.1,10.0,Mischparken,M 9-23,Südliche Au,Ohlmüllerstr.,Mischparken,11.579446435072002,48.125406836714674
opendata_ruhver_parkseiten_line.2,15.0,Bewohnerparken,Bew 9-23,Südliche Au,Entenbachstr.,Bewohnerparken,11.579578035039429,48.12482450187614
opendata_ruhver_parkseiten_line.3,14.0,Bewohnerparken,Bew 9-23,Südliche Au,Boosstr.,Bewohnerparken,11.578920408447907,48.12479070397306
opendata_ruhver_parkseiten_line.4,13.0,Bewohnerparken,Bew 9-23,Südliche Au,Entenbachstr.,Bewohnerparken,11.579646762526346,48.12479147658567
opendata_ruhver_parkseiten_line.5,18.0,Bewohnerparken,Bew 9-23,Südliche Au,Entenbachstr.,Bewohnerparken,11.578949110333003,48.12390947568212
opendata_ruhver_parkseiten_line.6,38.0,Bewohnerparken,Bew 9-23,Südliche Au,Entenbachstr.,Bewohnerparken,11.579163105342897,48.123997918807376
opendata_ruhver_parkseiten_line.7,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Südliche Au,Entenbachstr.,Absolutes Halteverbot,11.576918798819763,48.12153112920266
opendata_ruhver_parkseiten_line.8,33.0,Mischparken,M 9-23,Südliche Au,Asamstr.,Mischparken,11.577842882209735,48.124627257095334
opendata_ruhver_parkseiten_line.9,19.0,Mischparken,M 9-23,Südliche Au,Asamstr.,Mischparken,11.577728881187323,48.124671147945556
opendata_ruhver_parkseiten_line.10,55.0,Mischparken,M 9-23,Südliche Au,Asamstr.,Mischparken,11.576312370180068,48.1235632342937
opendata_ruhver_parkseiten_line.11,48.0,Mischparken,M 9-23,Südliche Au,Asamstr.,Mischparken,11.576629764313484,48.123666514934946
opendata_ruhver_parkseiten_line.12,16.0,Bewohnerparken,Bew 9-23,Südliche Au,Albanistr.,Bewohnerparken,11.57663157746875,48.124532117693114
opendata_ruhver_parkseiten_line.13,15.0,Bewohnerparken,Bew 9-23,Südliche Au,Albanistr.,Bewohnerparken,11.57798262908329,48.12382000748542
opendata_ruhver_parkseiten_line.14,15.0,Bewohnerparken,Bew 9-23,Südliche Au,Albanistr.,Bewohnerparken,11.577827676941597,48.12380628188972
opendata_ruhver_parkseiten_line.15,11.0,Mischparken,M 9-23,Südliche Au,Albanistr.,Mischparken,11.579137719236547,48.12333650797841
opendata_ruhver_parkseiten_line.16,8.0,Mischparken,M 9-23,Südliche Au,Albanistr.,Mischparken,11.579073840257731,48.12328262420953
opendata_ruhver_parkseiten_line.17,17.0,Mischparken,M 9-23,West Schwabing,Nordendstr.,Mischparken,11.574964496771571,48.158452655935555
opendata_ruhver_parkseiten_line.18,15.0,Bewohnerparken,Bew 9-23,Südliche Au,Boosstr.,Bewohnerparken,11.578894388908214,48.12474347206889
opendata_ruhver_parkseiten_line.19,10.0,Bewohnerparken,Bew 9-23,Südliche Au,Am Feuerbächl,Bewohnerparken,11.579956754229507,48.124571133562455
opendata_ruhver_parkseiten_line.20,5.0,Kurzzeitparken,"KZP 2h 9-23, Bew frei 18-23",Südliche Au,Ohlmüllerstr.,Kurzzeitparken,11.580105713590346,48.124943930980294
opendata_ruhver_parkseiten_line.21,5.0,Kurzzeitparken,"KZP 2h 9-23, Bew frei 18-23",Südliche Au,Ohlmüllerstr.,Kurzzeitparken,11.580586838359498,48.12458838233634
opendata_ruhver_parkseiten_line.22,19.0,Mischparken,M 9-23,Südliche Au,Ohlmüllerstr.,Mischparken,11.581558051228646,48.123559704710836
opendata_ruhver_parkseiten_line.23,7.0,Mischparken,M 9-23,Südliche Au,Falkenstr.,Mischparken,11.578447759325826,48.12136208184312
opendata_ruhver_parkseiten_line.24,16.0,Mischparken,M 9-23,Südliche Au,Falkenstr.,Mischparken,11.577410791365438,48.12077605287848
opendata_ruhver_parkseiten_line.25,6.0,Mischparken,M 9-23,Südliche Au,Kolumbusstr.,Mischparken,11.576183934217543,48.121510527010194
opendata_ruhver_parkseiten_line.26,7.0,Mischparken,M 9-23,Südliche Au,Kolumbusstr.,Mischparken,11.576087946417115,48.12119002872113
opendata_ruhver_parkseiten_line.27,4.0,Bewohnerparken,Bew 9-23,Südliche Au,Kolumbusstr.,Bewohnerparken,11.576520905421042,48.12035946581285
opendata_ruhver_parkseiten_line.28,15.0,Mischparken,M 9-23,Südliche Au,Oefelestr.,Mischparken,11.57492831720908,48.12038151453494
opendata_ruhver_parkseiten_line.29,17.0,Mischparken,M 9-23,Südliche Au,Oefelestr.,Mischparken,11.57494138832052,48.12028977593063
opendata_ruhver_parkseiten_line.30,8.0,Mischparken,M 9-23,Südliche Au,Pilgersheimer Str.,Mischparken,11.575989714165361,48.12024493243669
opendata_ruhver_parkseiten_line.31,2.0,Mischparken,M 9-23,Südliche Au,Edlingerpl.,Mischparken,11.57597446545471,48.120499490752636
opendata_ruhver_parkseiten_line.32,32.0,Bewohnerparken,Bew 9-23,Südliche Au,Edlingerstr.,Bewohnerparken,11.574739047199309,48.12132565632899
opendata_ruhver_parkseiten_line.33,31.0,Bewohnerparken,Bew 9-23,Südliche Au,Edlingerstr.,Bewohnerparken,11.574776805006733,48.12137097849449
opendata_ruhver_parkseiten_line.34,17.0,Bewohnerparken,Bew 9-23,Südliche Au,Schlotthauerstr.,Bewohnerparken,11.576644575056825,48.12312354578589
opendata_ruhver_parkseiten_line.35,6.0,Bewohnerparken,Bew 9-23,Südliche Au,Schlotthauerstr.,Bewohnerparken,11.57530260138584,48.12342719924842
opendata_ruhver_parkseiten_line.36,5.0,Bewohnerparken,Bew 9-23,Südliche Au,Schlotthauerstr.,Bewohnerparken,11.575242967227869,48.12332022686089
opendata_ruhver_parkseiten_line.37,4.0,Kurzzeitparken,"KZP 2h 9-23, Bew frei 18-23",Südliche Au,Entenbachstr.,Kurzzeitparken,11.578399723826003,48.12335471971689
opendata_ruhver_parkseiten_line.38,24.0,Bewohnerparken,Bew 9-23,Südliche Au,Sommerstr.,Bewohnerparken,11.57437182985885,48.12233260122059
opendata_ruhver_parkseiten_line.39,6.0,Kurzzeitparken,"KZP 2h 9-19, M 19-23",Franziskanerstraße,Rosenheimer Str.,Kurzzeitparken,11.591975411908795,48.12974553864865
opendata_ruhver_parkseiten_line.40,2.0,Kurzzeitparken,"KZP 2h 9-23, Bew frei 18-23",Franziskanerstraße,Rosenheimer Str.,Kurzzeitparken,11.594787657674889,48.12794155121918
opendata_ruhver_parkseiten_line.41,10.0,Mischparken,"M 9-18, Bew 18-23",West Schwabing,Zentnerstr.,Mischparken,11.564085179781053,48.15727727229498
opendata_ruhver_parkseiten_line.42,6.0,Mischparken,"M 9-18, Bew 18-23",West Schwabing,Zentnerstr.,Mischparken,11.56418005310397,48.15785171249673
opendata_ruhver_parkseiten_line.43,7.0,Mischparken,"M 9-18, Bew 18-23",West Schwabing,Zentnerstr.,Mischparken,11.564313305934727,48.15783890719538
opendata_ruhver_parkseiten_line.44,16.0,Mischparken,"M 9-18, Bew 18-23",West Schwabing,Zentnerstr.,Mischparken,11.56461558982094,48.15852036122943
opendata_ruhver_parkseiten_line.45,7.0,Mischparken,"M 9-18, Bew 18-23",West Schwabing,Zentnerstr.,Mischparken,11.56494892531019,48.15929442143695
opendata_ruhver_parkseiten_line.46,12.0,Bewohnerparken,Bew 9-23,West Schwabing,Zentnerstr.,Bewohnerparken,11.56518647073146,48.15999111714624
opendata_ruhver_parkseiten_line.47,10.0,Bewohnerparken,Bew 9-23,West Schwabing,Zentnerstr.,Bewohnerparken,11.565233164822331,48.16053043373607
opendata_ruhver_parkseiten_line.48,21.0,Mischparken,"M 9-18, Bew 18-23",West Schwabing,Hiltenspergerstr.,Mischparken,11.566195610779427,48.15832895676543
opendata_ruhver_parkseiten_line.49,17.0,Mischparken,"M 9-18, Bew 18-23",West Schwabing,Hiltenspergerstr.,Mischparken,11.56640610653673,48.158993948392016
opendata_ruhver_parkseiten_line.50,7.0,Mischparken,"M 9-18, Bew 18-23",West Schwabing,Hiltenspergerstr.,Mischparken,11.566310666091994,48.1581665130474
opendata_ruhver_parkseiten_line.51,8.0,Mischparken,"M 9-18, Bew 18-23",West Schwabing,Hiltenspergerstr.,Mischparken,11.566485778153883,48.15874936178819
opendata_ruhver_parkseiten_line.52,31.0,Mischparken,"M 9-18, Bew 18-23",West Schwabing,Hiltenspergerstr.,Mischparken,11.566706113440192,48.15979325853196
opendata_ruhver_parkseiten_line.53,12.0,Mischparken,M 9-23,Bayernplatz,Hiltenspergerstr.,Mischparken,11.56656501319694,48.161368943316276
opendata_ruhver_parkseiten_line.54,26.0,Mischparken,M 9-23,Bayernplatz,Hiltenspergerstr.,Mischparken,11.566431937936066,48.16263288965434
opendata_ruhver_parkseiten_line.55,1.0,E-Parken,E-LIS,Bayernplatz,Hiltenspergerstr.,E-Parken,11.566364684817879,48.16421780550727
opendata_ruhver_parkseiten_line.56,13.0,Mischparken,M 9-23,Bayernplatz,Hiltenspergerstr.,Mischparken,11.566269582720532,48.163895253367954
