timestamp,name,address,day_type,hour,rule_color,occupancy_rate,occupied_spots,total_capacity
2025-11-22 00:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,0,grün,0.2428,45,188
2025-11-22 01:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,1,grün,0.646,121,188
2025-11-22 02:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,2,grün,0.3048,57,188
2025-11-22 03:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,3,grün,0.217,40,188
2025-11-22 04:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,4,grün,0.403,75,188
2025-11-22 05:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,5,grün,0.2997,56,188
2025-11-22 06:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,6,grün,0.264,49,188
2025-11-22 07:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,7,grün,0.6229,117,188
2025-11-22 08:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,8,grün,0.4378,82,188
2025-11-22 09:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,9,grün,0.5879,110,188
2025-11-22 10:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,10,grün,0.7294,137,188
2025-11-22 11:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,11,grün,0.345,64,188
2025-11-22 12:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,12,grün,0.5572,104,188
2025-11-22 13:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,13,grün,0.4151,78,188
2025-11-22 14:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,14,grün,0.3724,70,188
2025-11-22 15:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,15,grün,0.2781,52,188
2025-11-22 16:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,16,grün,0.0074,1,188
2025-11-22 17:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,17,grün,0.0429,8,188
2025-11-22 18:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,18,grün,0.2121,39,188
2025-11-22 19:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,19,grün,0.3846,72,188
2025-11-22 20:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,20,grün,0.461,86,188
2025-11-22 21:00:00,Aidenbachstraße,"Gmunder Str. 40, 81379 München",SA,21,grün,0.431,81,188
